Status,ScriptPath,TypeName,BaseTypeName,SerializedReference,ExternalCodeReferenceCount,ExternalCodeReferenceFiles,Notes
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/Audit/UnusedProjectScriptScanner.cs","StarFrontier.EditorTools.UnusedProjectScriptScanner","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/ConfigAndStateCurrentEditModeTests.cs","StarFrontier.Tests.Sprint1.ConfigAndStateCurrentEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/DiagnosticsSecurityCurrentEditModeTests.cs","StarFrontier.Tests.Sprint1.DiagnosticsSecurityCurrentEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/SaveMigrationCurrentEditModeTests.cs","StarFrontier.Tests.Sprint1.SaveMigrationCurrentEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/SavePipelineStagesCurrentEditModeTests.cs","StarFrontier.Tests.Sprint1.SavePipelineStagesCurrentEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/SaveService2ACurrentEditModeTests.cs","StarFrontier.Tests.Sprint1.SaveService2ACurrentEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/SceneConfigurationEditModeTests.cs","StarFrontier.Tests.Sprint1.SceneConfigurationEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/SceneFlowContractCurrentEditModeTests.cs","StarFrontier.Tests.Sprint1.SceneFlowContractCurrentEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/ServiceRegistryEditModeTests.cs","StarFrontier.Tests.Sprint1.ServiceRegistryEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/SimpleEventBusEditModeTests.cs","StarFrontier.Tests.Sprint1.SimpleEventBusEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
